% f evaluations | g evaluations | best noise-free fitness - Fopt (7.627000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.128259773e+05 +5.129022473e+05 +5.129022473e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
7 0 +4.322066829e+05 +4.322829529e+05 +4.322829529e+05 +4.7667e+00 +4.8103e+00 +1.3099e+00 +2.2762e+00 +9.9550e-01 +4.2819e+00 +2.7359e+00 -7.2901e-01 +3.0019e+00 -2.8989e+00 +2.2007e+00 -1.4351e-01 +4.5266e+00 +2.1556e+00 +1.3448e+00 -7.3146e-01 -2.8377e+00 -3.4963e+00 -4.3830e+00 -3.0507e+00
9 0 +2.483188784e+04 +2.490815784e+04 +2.490815784e+04 +2.1840e+00 +2.8012e+00 -1.7190e+00 -5.7213e-01 -1.6724e-01 +2.1721e+00 +4.1308e+00 +2.1440e+00 +3.8798e+00 -4.1435e+00 -8.1609e-01 -4.0927e+00 +1.4408e+00 +3.4304e-01 -4.4033e+00 +1.2160e+00 -2.2831e+00 +1.5343e+00 +2.2386e+00 +7.7839e-01
21 0 +6.025348689e+03 +6.101618689e+03 +6.101618689e+03 +2.9675e+00 -2.2558e+00 +1.1163e+00 -2.7447e-01 -5.8309e-01 -2.3054e+00 +4.6192e+00 +8.0873e-01 -1.5040e+00 +4.8358e+00 +3.8240e+00 +4.1069e+00 -1.5615e+00 -2.7915e+00 +4.4569e+00 +4.7552e+00 +2.8126e+00 +4.1933e+00 +3.7483e+00 +3.1059e+00
29 0 +3.213316725e+03 +3.289586725e+03 +3.289586725e+03 -7.7097e-01 -4.1228e+00 +4.2697e+00 +2.8843e+00 +3.2926e+00 -2.3388e+00 -3.5691e+00 -1.1860e+00 -2.4833e+00 +2.4303e+00 +1.1259e+00 +4.2970e+00 +4.3433e+00 +1.5968e+00 +4.5630e+00 -2.0928e+00 -2.8161e+00 +2.1629e+00 -2.0423e+00 +4.8842e+00
135 0 +2.536481912e+03 +2.612751912e+03 +2.612751912e+03 +3.9539e+00 +1.0921e-01 -2.3083e-02 -3.0610e+00 +1.8778e+00 -6.4106e-01 +2.1612e+00 -2.9514e+00 -1.4750e+00 +4.7934e+00 +2.9466e+00 +3.1472e-01 +2.1721e+00 +1.5995e+00 -2.7374e+00 +3.8671e+00 -4.3952e+00 +4.2134e+00 -3.5376e+00 -1.9839e+00
182 0 +3.771559279e+02 +4.534259279e+02 +4.534259279e+02 -2.8903e+00 -1.3682e+00 -2.2143e+00 -7.9100e-01 -3.8360e+00 +8.0103e-01 +1.3486e+00 -1.0972e+00 +1.4582e-04 +2.2869e+00 -4.3335e+00 -1.5356e-01 -3.6271e+00 +1.3160e+00 +3.5065e+00 -3.4347e+00 +2.8647e+00 -4.5656e+00 -1.0153e+00 +2.8710e+00
1085 0 +2.894341738e+02 +3.657041738e+02 +3.657041738e+02 +5.0000e+00 -1.0000e+00 +1.0000e+00 +3.0000e+00 +0.0000e+00 +4.0000e+00 +1.0000e+00 -1.0000e+00 +5.0000e+00 +0.0000e+00 -8.0000e+00 -1.0000e+00 +1.0000e+00 +5.0000e+00 +0.0000e+00 +2.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 -1.0000e+00
1159 0 +1.914786871e+02 +2.677486871e+02 +2.677486871e+02 +0.0000e+00 +0.0000e+00 -4.0000e+00 +4.0000e+00 -5.0000e+00 -2.0000e+00 -3.0000e+00 -2.0000e+00 +0.0000e+00 +3.0000e+00 -3.0000e+00 +2.0000e+00 -3.0000e+00 -1.0000e+00 -1.0000e+00 +0.0000e+00 +2.0000e+00 -1.0000e+00 +1.0000e+00 -2.0000e+00
22754 0 +1.338789313e+02 +2.101489313e+02 +2.101489313e+02 -3.0000e+00 -1.0000e+00 +1.0000e+00 -3.0000e+00 -9.0000e+00 -1.0000e+00 -2.0000e+00 -2.0000e+00 +0.0000e+00 +0.0000e+00 -1.0000e+00 +0.0000e+00 -1.0000e+00 +4.0000e+00 -1.0000e+00 -1.0000e+00 -2.0000e+00 -3.0000e+00 -1.0000e+00 +0.0000e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.255000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.986910607e+05 +1.986685107e+05 +1.986685107e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +6.576756672e+04 +6.574501672e+04 +6.574501672e+04 +2.9142e+00 -2.6540e+00 +1.1772e+00 -4.5571e+00 +4.8390e+00 +3.0100e+00 +2.6625e+00 -3.6270e+00 -1.2957e+00 +1.7404e+00 -3.7926e+00 -3.8214e+00 -2.3005e+00 -4.8963e+00 -3.8407e+00 +4.7314e+00 -3.0291e+00 +3.7786e+00 -2.4451e+00 -2.4694e+00
10 0 +3.870104591e+03 +3.847554591e+03 +3.847554591e+03 -9.3935e-01 +1.6534e+00 +3.5909e+00 +4.9144e+00 -4.5737e+00 +1.8830e+00 +3.3389e+00 -1.0614e+00 +3.0093e+00 -2.0198e-01 -4.7610e+00 -4.7661e+00 +1.6623e+00 -3.0397e+00 +1.6823e+00 +3.8748e+00 -2.2938e+00 -9.8585e-01 +1.6202e+00 +4.6746e+00
12 0 +5.252736027e+02 +5.027236027e+02 +5.027236027e+02 +4.5235e+00 +4.5081e-01 +9.2855e-01 +3.7927e+00 -1.1819e+00 +2.7729e+00 +3.2271e+00 -2.9112e+00 -8.2954e-01 +4.8910e-01 -3.6851e+00 +4.4963e+00 +4.0542e+00 -1.7739e+00 -2.9602e-02 -2.4769e+00 -3.4400e+00 +1.4980e+00 -2.2884e+00 -3.3375e+00
150 0 +3.050712792e+02 +2.825212792e+02 +2.825212792e+02 -2.4436e+00 +4.3939e+00 -7.2114e-01 +4.4403e+00 +4.6596e-01 -8.5347e-01 -5.6730e-01 +1.5080e+00 -4.9097e+00 +2.4360e+00 -4.0329e+00 -1.0414e+00 -8.2407e-01 +3.1632e+00 -2.5193e+00 +2.0117e+00 -1.0481e+00 +2.8582e+00 +6.5626e-01 +6.3948e-01
153 0 +2.759748097e+02 +2.534248097e+02 +2.534248097e+02 +3.0633e+00 -2.9841e+00 +3.9750e+00 -5.3497e-01 -3.9007e+00 +1.6206e+00 -1.4826e+00 -5.0650e-01 -3.3648e+00 +2.3303e+00 +2.3057e+00 +4.4188e+00 +8.4357e-01 +1.5653e+00 +4.2588e+00 +1.7510e+00 -3.2681e+00 -2.4695e-01 +3.5339e-01 -2.0926e+00
